Title,Artist,Air Time
Homework,The J. Geils Band,2017-12-03 20:47:00
Honaloochie Boogie,Mott The Hoople,2017-12-03 20:50:00
Honey Don't Leave L.A.,James Taylor,2017-12-03 20:53:00
Honeymoon With B Troop,10cc,2017-12-03 20:56:00
Hong Kong Garden,Siouxsie & The Banshees,2017-12-03 20:59:00
Honky Cat,Elton John,2017-12-03 21:02:00
Honky Tonk Women,Elton John,2017-12-03 21:07:00
Hooked On A Feeling,Blue Swede,2017-12-03 21:14:00
Hooked On Your Love,Aretha Franklin,2017-12-03 21:16:00
Hope You're Feeling Better,Santana,2017-12-03 21:21:00
Horse With No Name,America,2017-12-03 21:25:00
Hot As Sun/Glasses,Paul McCartney,2017-12-03 21:31:00
Hot Child in the City,Nick Gilder,2017-12-03 21:33:00
Hot Dog,Led Zeppelin,2017-12-03 21:36:00
Hot Love,T Rex,2017-12-03 21:40:00
Hot Love Cold World,Bob Welch,2017-12-03 21:45:00
Hot Pants,James Brown,2017-12-03 21:50:00
Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen,2017-12-03 21:53:00
Hot Stuff,Donna Summer,2017-12-03 21:56:00
Hot Stuff,The Rolling Stones,2017-12-03 22:00:00
Hot Summer Nights,Night,2017-12-03 22:05:00
Hotel California,The Eagles,2017-12-03 22:11:00
Hots On For Nowhere,Led Zeppelin,2017-12-03 22:17:00
Houses Of The Holy,Led Zeppelin,2017-12-03 22:22:00
How Can I Tell You,Cat Stevens,2017-12-03 22:26:00
How Can You Keep Moving,Ry Cooder,2017-12-03 22:31:00
How Can You Mend A Broken Heart,Al Green,2017-12-03 22:34:00
How Can You Mend A Broken Heart,Bee Gees,2017-12-03 22:40:00
How Deep Is Your Love,Bee Gees,2017-12-03 22:44:00
How Do You Do?,Mouth & MacNeal,2017-12-03 22:49:00
How Do You Sleep?,John Lennon,2017-12-03 22:52:00
How Does It Feel?,Slade,2017-12-03 22:58:00
How Long,ACE,2017-12-03 23:04:00
How Long (Betcha' Got a Chick on the Side),The Pointer Sisters,2017-12-03 23:08:00
How Many More Years,Freddie King,2017-12-03 23:15:00
How Much I Feel,Ambrosia,2017-12-03 23:19:00
How?,John Lennon,2017-12-03 23:24:00
Howard Hughes' Blues,John Hartford,2017-12-03 23:28:00
Human Fly,The Cramps,2017-12-03 23:31:00
Human Highway,Neil Young,2017-12-03 23:33:00
Humdrum,Peter Gabriel,2017-12-03 23:36:00
Hunters And Collectors,Can,2017-12-03 23:40:00
Hurricane,Bob Dylan,2017-12-03 23:44:00
Hurry Up,Poco,2017-12-03 23:55:00
Hurt By Love,Chris Spedding,2017-12-04 00:01:00
Hymn-Song,McCoy Tyner,2017-12-04 00:04:00
Hypnotized,Fleetwood Mac,2017-12-04 00:09:00
I Ain't Living Long Like This,Emmylou Harris,2017-12-04 00:15:00
I Ain't Living Long Like This,Rodney Crowell,2017-12-04 00:19:00
I Ain't Searchin,The American Dream,2017-12-04 00:23:00
I Ain't Superstitious,Willie Dixon,2017-12-04 00:28:00
I Ain't The One,Lynyrd Skynyrd,2017-12-04 00:33:00
I Am A Poseur,X-Ray Spex,2017-12-04 00:36:00
I Am The Cosmos,Chris Bell,2017-12-04 00:39:00
I Am The Fly,Wire,2017-12-04 00:43:00
I Am Woman,Helen Reddy,2017-12-04 00:46:00
I Am... I Said,Neil Diamond,2017-12-04 00:49:00
I Been Hoodood,Dr. John,2017-12-04 00:53:00
I Believe In Love,Kenny Loggins,2017-12-04 00:56:00
I Believe In You,Bob Dylan,2017-12-04 01:00:00
I Believe In You,Neil Young,2017-12-04 01:05:00
I Came To Dance,Nils Lofgren,2017-12-04 01:09:00
I Can Feel The Fire,Ron Wood,2017-12-04 01:14:00
I Can Get Off On You,Waylon Jennings & Willie Nelson,2017-12-04 01:18:00
I Can Help,Billy Swan,2017-12-04 01:22:00
I Can See Clearly Now,Johnny Nash,2017-12-04 01:24:00
I Can't Be Satisfied,Muddy Waters,2017-12-04 01:27:00
I Can't Get Next To You,Al Green,2017-12-04 01:31:00
I Can't Hold Out,Eric Clapton,2017-12-04 01:34:00
I Can't See My Feelings,Budgie,2017-12-04 01:39:00
I Can't Stand It No More,Peter Frampton,2017-12-04 01:45:00
I Can't Stand The Rain,Ann Peebles,2017-12-04 01:49:00
I Can't Tell You Why,The Eagles,2017-12-04 01:52:00
I Can't Wait To Get Off Work,Tom Waits,2017-12-04 01:57:00
I Can't Write Left-Handed,Bill Withers,2017-12-04 02:00:00
I Dig Love,George Harrison,2017-12-04 02:07:00
I Do It For Your Love,Paul Simon,2017-12-04 02:11:00
I Do The Rock,Tim Curry,2017-12-04 02:16:00
I Don't Know You,New Riders Of The Purple Sage,2017-12-04 02:21:00
I Don't Like Mondays,The Boomtown Rats,2017-12-04 02:23:00
I Don't Love You Anymore,Teddy Pendergrass,2017-12-04 02:27:00
I Don't Need No Doctor,Humble Pie,2017-12-04 02:32:00
I Don't Wanna Go Down To The Basement,The Ramones,2017-12-04 02:41:00
I Don't Wanna Walk Around With You,The Ramones,2017-12-04 02:43:00
I Don't Want It,Montrose,2017-12-04 02:45:00
I Don't Want Nobody,Randy California,2017-12-04 02:47:00
I Don't Want To Go Home,Southside Johnny & The Asbury Jukes,2017-12-04 02:53:00
I Don't Want To Know,Fleetwood Mac,2017-12-04 02:56:00
I Don't Want To Talk About It,Crazy Horse,2017-12-04 03:00:00
I Feel A Song (In My Heart),Gladys Knight & the Pips,2017-12-04 03:05:00
I Feel Good,Al Green,2017-12-04 03:08:00
I Feel Love,Donna Summer,2017-12-04 03:15:00
I Feel The Earth Move,Carole King,2017-12-04 03:23:00
I Fought The Law,The Clash,2017-12-04 03:26:00
I Found That Essence Rare,Gang Of Four,2017-12-04 03:29:00
I Get Lifted,George McCrae,2017-12-04 03:32:00
I Give You Give Blind,Crosby Stills & Nash,2017-12-04 03:35:00
I Go To Rio,Pablo Cruise,2017-12-04 03:38:00
I Got A Rocket In My Pocket,NRBQ,2017-12-04 03:43:00
I Got The News,Steely Dan,2017-12-04 03:45:00
I Gotcha,Joe Tex,2017-12-04 03:50:00
I Had A Talk With My Woman,Tim Buckley,2017-12-04 03:54:00
I Hear You Knockin',Dave Edmunds,2017-12-04 04:00:00
I Heard It Through The Grapevine,Creedence Clearwater Revival,2017-12-04 04:03:00
I Heard It Through The Grapevine,The Slits,2017-12-04 04:14:00
I Honestly Love You,Olivia Newton-John,2017-12-04 04:18:00
I Hope That I Don't Fall In Love With You,Tom Waits,2017-12-04 04:22:00
I Just Can't Be Happy Today,The Damned,2017-12-04 04:26:00
I Just Want To Be,Cameo,2017-12-04 04:30:00
I Just Want To Be Your Everything,Andy Gibb,2017-12-04 04:33:00
I Just Want To Celebrate,Rare Earth,2017-12-04 04:38:00
I Just Want To Have Something To Do,The Ramones,2017-12-04 04:41:00
I Just Want To See His Face,The Rolling Stones,2017-12-04 04:44:00
I Knew The Bride (When She Used To Rock & Roll),Dave Edmunds,2017-12-04 04:47:00
I Know,Bonnie Raitt,2017-12-04 04:52:00
I Know (I Know),John Lennon,2017-12-04 04:56:00
I Know A Little,Lynyrd Skynyrd,2017-12-04 05:00:00
I Know But I Don't Know,Blondie,2017-12-04 05:03:00
I Know What I Like,Genesis,2017-12-04 05:07:00
I Like It Like That,Brinsley Schwarz,2017-12-04 05:11:00
I Like to Rock,April Wine,2017-12-04 05:16:00
I Looked Away,Derek & The Dominos,2017-12-04 05:20:00
I Love Her More Than You'll Ever Know,Donny Hathaway,2017-12-04 05:23:00
I Love Music,The O'Jays,2017-12-04 05:28:00
I Love Rock & Roll,The Arrows,2017-12-04 05:36:00
I Love The Dead,Alice Cooper,2017-12-04 05:39:00
I Me Mine,The Beatles,2017-12-04 05:44:00
I Need A Million,The Laughing Dogs,2017-12-04 05:47:00
I Need A Miracle,Grateful Dead,2017-12-04 05:50:00
I Need Somebody,Iggy & The Stooges,2017-12-04 05:54:00
I Need To Know,Tom Petty & The Heartbreakers,2017-12-04 05:59:00
I Need You (For Someone),The Jam,2017-12-04 06:02:00
I Read It In The Rolling Stone,CHIP TAYLOR,2017-12-04 06:04:00
I Remember You,The Ramones,2017-12-04 06:10:00
I Robot,The Alan Parsons Project,2017-12-04 06:13:00
I Saw the Light,Todd Rundgren,2017-12-04 06:21:00
I Scare Myself,Dan Hicks & The Hot Licks,2017-12-04 06:24:00
I See The Light,Hot Tuna,2017-12-04 06:30:00
I Shall Be Released,The Band,2017-12-04 06:34:00
I Shot The Sheriff,Bob Marley & The Wailers,2017-12-04 06:42:00
I Shot The Sheriff,Eric Clapton,2017-12-04 06:46:00
I Should Have Known Better,Wire,2017-12-04 06:55:00
I Thank You,Bonnie Raitt,2017-12-04 06:59:00
I Thank You,ZZ Top,2017-12-04 07:02:00
I Think I Love You,The Partridge Family,2017-12-04 07:05:00
I Think I See The Light,Cat Stevens,2017-12-04 07:11:00
I Think You Know,Todd Rundgren,2017-12-04 07:15:00
I Thought I Was A Child,Jackson Browne,2017-12-04 07:21:00
I Wanna Be Loved,The Heartbreakers,2017-12-04 07:25:00
I Wanna Be Sedated,The Ramones,2017-12-04 07:27:00
I Wanna Be With You,The Isley Brothers,2017-12-04 07:30:00
I Wanna Be With You,The Raspberries,2017-12-04 07:36:00
I Wanna Be Your Boyfriend,The Ramones,2017-12-04 07:42:00
I Wanna Be Your Lover,Prince,2017-12-04 07:44:00
I Wanna Do Something Freaky To You,Leon Haywood,2017-12-04 07:47:00
I Wanna Get Next To You,Rose Royce,2017-12-04 07:55:00
I Wanna Go To The Sun,Peter Frampton,2017-12-04 08:00:00
I Wanna Grow Up to be a Politician,The Byrds,2017-12-04 08:07:00
I Want To Be Loved,Muddy Waters,2017-12-04 08:11:00
I Want To Know If It's Good To You,Funkadelic,2017-12-04 08:14:00
I Want To See The Bright Lights Tonight,Richard Thompson,2017-12-04 08:24:00
I Want You,Marvin Gaye,2017-12-04 08:27:00
I Want You Around,The Ramones,2017-12-04 08:31:00
I Want You Bad,NRBQ,2017-12-04 08:34:00
I Want You To Want Me,Cheap Trick,2017-12-04 08:37:00
I Was A Fool To Care,James Taylor,2017-12-04 08:43:00
I Was Made For Lovin' You,Kiss,2017-12-04 08:46:00
I Was One,The Babys,2017-12-04 08:53:00
I Will Be There,Van Morrison,2017-12-04 08:56:00
I Will Survive,Gloria Gaynor,2017-12-04 09:00:00
I Wish,Stevie Wonder,2017-12-04 09:03:00
I Wish I Was In New Orleans,Tom Waits,2017-12-04 09:07:00
I Wish I Was Your Mother,Mott The Hoople,2017-12-04 09:12:00
I Won't Let It 'Appen Agen,Slade,2017-12-04 09:17:00
I Wonder Who's Kissing Her Now,Harry Nilsson,2017-12-04 09:20:00
I Wouldn't Want To Be Like You,The Alan Parsons Project,2017-12-04 09:23:00
I Write The Songs,Barry Manilow,2017-12-04 09:28:00
I Zimbra,Talking Heads,2017-12-04 09:32:00
I'd Have You Anytime,George Harrison,2017-12-04 09:35:00
I'd Like To Teach The World To Sing (in Perfect Harmony),The New Seekers,2017-12-04 09:38:00
I'd Love To Change The World,Ten Years After,2017-12-04 09:42:00
I'd Rather Be With You,Bootsy's Rubber Band,2017-12-04 09:45:00
I'd Really Love To See You Tonight,England Dan & John Ford Coley,2017-12-04 09:50:00
I'll Always Love My Mama,The Intruders,2017-12-04 09:53:00
I'll Be Around,The Spinners,2017-12-04 10:00:00
I'll Be Creeping,Three Dog Night,2017-12-04 10:04:00
I'll Be Good To You,Brothers Johnson,2017-12-04 10:07:00
I'll Be There,Jackson 5,2017-12-04 10:12:00
I'll Come Running,Brian Eno,2017-12-04 10:16:00
I'll Play The Blues For You,Albert King,2017-12-04 10:19:00
I'll Sleep When I'm Dead,Warren Zevon,2017-12-04 10:27:00
I'll Take You There,The Staple Singers,2017-12-04 10:29:00
I'm A Believer,Tin Huey,2017-12-04 10:36:00
I'm A Changed Man (Finally Got Myself Together),The Impressions,2017-12-04 10:39:00
I'm A Ramblin' Man,Waylon Jennings,2017-12-04 10:43:00
I'm A Rocker,The Raspberries,2017-12-04 10:45:00
I'm Against It,The Ramones,2017-12-04 10:52:00
"I'm Bad, I'm Nationwide",ZZ Top,2017-12-04 10:55:00
I'm Bored,Iggy Pop,2017-12-04 11:00:00
I'm Carrying,Wings,2017-12-04 11:03:00
I'm Coming Back For You,Elf,2017-12-04 11:05:00
I'm Doin' Fine Now,New York City,2017-12-04 11:10:00
I'm Eighteen,Alice Cooper,2017-12-04 11:13:00
I'm Glad You're Mine,Al Green,2017-12-04 11:16:00
I'm Going To Be A Teenage Idol,Elton John,2017-12-04 11:19:00
"I'm Gonna Love You Just A Little More, Baby",Barry White,2017-12-04 11:24:00
I'm Gonna Love You Too,Blondie,2017-12-04 11:28:00
I'm In Disgrace,The Kinks,2017-12-04 11:30:00
I'm In Love,Aretha Franklin,2017-12-04 11:34:00
I'm In Love With A Girl,Big Star,2017-12-04 11:37:00
I'm In Love With My Car,Queen,2017-12-04 11:41:00
I'm In You,Peter Frampton,2017-12-04 11:44:00
I'm Just A Kid (Don't Make me Feel like a Man),Hall & Oates,2017-12-04 11:49:00
I'm Just A Singer (in A Rock And Roll Band),The Moody Blues,2017-12-04 11:53:00
I'm Not Angry,Elvis Costello,2017-12-04 11:57:00
I'm Not Down,The Clash,2017-12-04 12:01:00
I'm Not In Love,10cc,2017-12-04 12:04:00
I'm Not In Love,Talking Heads,2017-12-04 12:11:00
I'm On Fire,Dwight Twilley Band,2017-12-04 12:17:00
I'm Partial To Your Abracdabra,Ian Dury & The Blockheads,2017-12-04 12:20:00
I'm Ready,Muddy Waters,2017-12-04 12:23:00
I'm So Bored With The U.S.A.,The Clash,2017-12-04 12:28:00
I'm So Green,Can,2017-12-04 12:31:00
I'm Still In Love With You,Al Green,2017-12-04 12:34:00
I'm Stone In Love with You,The Stylistics,2017-12-04 12:37:00
I'm Straight,The Modern Lovers,2017-12-04 12:43:00
I'm The Man,Joe Jackson,2017-12-04 12:47:00
I'm The Only Hell (Mama Ever Raised),Johnny Paycheck,2017-12-04 12:51:00
I'm Tore Down,Freddie King,2017-12-04 12:55:00
I'm Your Boogie Man,KC & The Sunshine Band,2017-12-04 12:58:00
I'm Your Captain,Grand Funk Railroad,2017-12-04 13:02:00
I've Been Lonely For So Long,Frederick Knight,2017-12-04 13:12:00
I've Been Working,Van Morrison,2017-12-04 13:17:00
I've Found Someone Of My Own,Free Movement,2017-12-04 13:21:00
I've Got A Feeling,The Beatles,2017-12-04 13:24:00
I've Got Love On My Mind,Natalie Cole,2017-12-04 13:30:00
I've Got To Use My Imagination,Gladys Knight & the Pips,2017-12-04 13:34:00
I've Loved These Days,Billy Joel,2017-12-04 13:37:00
I've Never Found A Girl (Who Loves Me Like You Do),Al Green,2017-12-04 13:43:00
I've Seen All Good People,Yes,2017-12-04 13:46:00
"I've Seen That Movie, Too",Elton John,2017-12-04 13:54:00
Idiot Wind,Bob Dylan,2017-12-04 14:00:00
If I Can't Have You,Yvonne Elliman,2017-12-04 14:08:00
If I Don't Sing I'll Cry,Taste (featuring Rory Gallagher),2017-12-04 14:11:00
If I Ever Lose This Heaven,Average White Band,2017-12-04 14:16:00
If I Said You Had A Beautiful Body Would You Hold It Against Me?,The Bellamy Brothers,2017-12-04 14:21:00
If I Were Your Woman,Gladys Knight & the Pips,2017-12-04 14:24:00
If Not For You,Bob Dylan,2017-12-04 14:27:00
If Not For You,George Harrison,2017-12-04 14:30:00
If There Is Something,Roxy Music,2017-12-04 14:35:00
If Walls Could Talk,Ry Cooder,2017-12-04 14:42:00
If We Make It Through December,Merle Haggard,2017-12-04 14:45:00
If You Can't Rock Me,The Rolling Stones,2017-12-04 14:48:00
If You Could Read My Mind,Gordon Lightfoot,2017-12-04 14:53:00
If You Don't Know Me By Now,Harold Melvin & The Bluenotes,2017-12-04 14:56:00
If You Leave Me Now,Chicago,2017-12-04 15:00:00
If You Really Love Me,Stevie Wonder,2017-12-04 15:04:00
If You Really Want To Be My Friend,The Rolling Stones,2017-12-04 15:09:00
If You See Her Say Hello,Bob Dylan,2017-12-04 15:15:00
If You Want Me To Stay,Sly & The Family Stone,2017-12-04 15:20:00
If You Want To Get To Heaven,Ozark Mountain Daredevils,2017-12-04 15:23:00
If You're Ready (Come Go With Me),The Staple Singers,2017-12-04 15:28:00
If You've Got Love,Dave Mason,2017-12-04 15:32:00
Iko Iko,Dr. John,2017-12-04 15:35:00
Illegal Smile,John Prine,2017-12-04 15:43:00
Imagine,John Lennon,2017-12-04 15:46:00
Immigrant Song,Led Zeppelin,2017-12-04 15:49:00
In A Gadda Da Vida / Garden Of Eden,Disco Circus,2017-12-04 15:52:00
In For The Kill,Budgie,2017-12-04 16:00:00
In France They Kiss On Main Street,Joni Mitchell,2017-12-04 16:07:00
In Germany Before The War,Randy Newman,2017-12-04 16:12:00
In Mazatlan,War,2017-12-04 16:16:00
In Memory Of Elizabeth Reed,The Allman Brothers,2017-12-04 16:18:00
In My Hour Of Darkness,Gram Parsons,2017-12-04 16:25:00
In My Time Of Dying,Led Zeppelin,2017-12-04 16:30:00
In Tall Buildings,John Hartford,2017-12-04 16:41:00
In The City,The Eagles,2017-12-04 16:44:00
In The City,The Jam,2017-12-04 16:48:00
In The Country,Chicago,2017-12-04 16:53:00
In the Dead of Night,U.K.,2017-12-04 17:00:00
In The Evening,Led Zeppelin,2017-12-04 17:05:00
In The Flesh,Blondie,2017-12-04 17:12:00
In The Flesh,Pink Floyd,2017-12-04 17:16:00
In The Gallery,Dire Straits,2017-12-04 17:20:00
In The Land Of Grey And Pink,Caravan,2017-12-04 17:28:00
In The Midnight Hour,The Jam,2017-12-04 17:33:00
In The Mood,Rush,2017-12-04 17:34:00
In The Rain,The Dramatics,2017-12-04 17:39:00
In The Street,Big Star,2017-12-04 17:44:00
In The Summertime,Mungo Jerry,2017-12-04 17:46:00
In Time,Sly & The Family Stone,2017-12-04 17:54:00
Incident on 57th St,Bruce Springsteen,2017-12-04 18:00:00
Indian Reservation (The Lament Of The Cherokee Reservation Indian),Paul Revere & The Raiders,2017-12-04 18:08:00
Indian Summer,Audience,2017-12-04 18:13:00
Indiana Wants Me,R. Dean Taylor,2017-12-04 18:16:00
Inner City Blues,Brian Auger's Oblivion Express,2017-12-04 18:19:00
Inner City Blues,Marvin Gaye,2017-12-04 18:23:00
Inner City Blues (Make Me Wanna Holler),Grover Washington Jr.,2017-12-04 18:28:00
Inseparable,Natalie Cole,2017-12-04 18:35:00
Inspiration Information,Shuggie Otis,2017-12-04 18:39:00
Instant Karma!,John Lennon,2017-12-04 18:43:00
Into The Mystic,Van Morrison,2017-12-04 18:47:00
Intro/ Sweet Jane,Lou Reed,2017-12-04 18:52:00
Introduction / Africano Power,Earth Wind & Fire,2017-12-04 19:00:00
Iron Man,Black Sabbath,2017-12-04 19:06:00
Is It A Star,Hall & Oates,2017-12-04 19:14:00
Is It My Name?,Todd Rundgren,2017-12-04 19:19:00
Is She Really Going Out With Him,Joe Jackson,2017-12-04 19:24:00
Is There Anybody Out There?,Pink Floyd,2017-12-04 19:28:00
Is This Love,Bob Marley & The Wailers,2017-12-04 19:31:00
Is Your Love In Vain?,Bob Dylan,2017-12-04 19:35:00
Isis,Bob Dylan,2017-12-04 19:40:00
Island Girl,Elton John,2017-12-04 19:49:00
Isn't It A Pity,George Harrison,2017-12-04 19:53:00
Isn't It Time,The Babys,2017-12-04 20:00:00
Isn't Life Strange,The Moody Blues,2017-12-04 20:04:00
Isn't She Lovely,Stevie Wonder,2017-12-04 20:12:00
Isn't That So?,Jesse Winchester,2017-12-04 20:18:00
It Ain't Easy,David Bowie,2017-12-04 20:20:00
It Ain't No Use,The Meters,2017-12-04 20:24:00
It Ain't What It Seems,Pat Travers,2017-12-04 20:37:00
It Don't Come Easy,Ringo Starr,2017-12-04 20:41:00
It Fills You Up,Van Morrison,2017-12-04 20:44:00
It Happened Today,Curved Air,2017-12-04 20:48:00
It Isn't Gonna Be That Way,Steve Forbert,2017-12-04 20:55:00
It Keeps You Runnin',Carly Simon,2017-12-04 21:00:00
It Keeps You Runnin',The Doobie Brothers,2017-12-04 21:04:00
It Makes No Difference,The Band,2017-12-04 21:08:00
It Must Have Been The Roses,Jerry Garcia,2017-12-04 21:16:00
It Never Rains In Southern California,Albert Hammond,2017-12-04 21:21:00
It Seems To Hang On,Ashford & Simpson,2017-12-04 21:26:00
It Takes Two To Tango,Todd Rundgren,2017-12-04 21:31:00
It Wouldn't Have Made Any Difference,Todd Rundgren,2017-12-04 21:34:00
It's a Laugh,Hall & Oates,2017-12-04 21:38:00
It's A Long Way There,Little River Band,2017-12-04 21:42:00
It's A Long Way To The Top (If You Wanna Rock 'n' Roll),AC/DC,2017-12-04 21:51:00
It's A New Day,Skull Snaps,2017-12-04 21:56:00
It's A Shame,The Spinners,2017-12-04 21:59:00
It's All I Can Do,The Cars,2017-12-04 22:02:00
It's All Over Now,Rod Stewart,2017-12-04 22:06:00
It's All Over Now,Ry Cooder,2017-12-04 22:12:00
It's All Right With Me,Josie & The Pussycats,2017-12-04 22:18:00
It's Alright,Hound Dog Taylor And The Houserockers,2017-12-04 22:20:00
It's Different For Girls,Joe Jackson,2017-12-04 22:23:00
It's Ectasy When You Lay Down Next To Me,Barry White,2017-12-04 22:28:00
It's Hard To Be A Saint In The City,Bruce Springsteen,2017-12-04 22:35:00
It's Late,Queen,2017-12-04 22:39:00
It's Lonely At The Top,Randy Newman,2017-12-04 22:45:00
It's Money That I Love,Randy Newman,2017-12-04 22:48:00
It's Only Love,ZZ Top,2017-12-04 22:52:00
It's Only Rock'n Roll (But I Like It),The Rolling Stones,2017-12-04 22:57:00
Its Just Begun,Jimmy Castor Bunch,2017-12-04 23:02:00
Its Up To You,The Moody Blues,2017-12-04 23:07:00
Izzat Love?,Todd Rundgren,2017-12-04 23:10:00
Jack Straw,Grateful Dead,2017-12-04 23:12:00
Jackie Blue,Ozark Mountain Daredevils,2017-12-04 23:17:00
Jackie Wilson Said (I'm In Heaven When You Smile),Van Morrison,2017-12-04 23:22:00
Jackson Kent Blues,Steve Miller Band,2017-12-04 23:25:00
Jaco,Pat Metheny Group,2017-12-04 23:32:00
Jailbreak,Thin Lizzy,2017-12-04 23:39:00
Jam Jam Jam (All Night Long),Peoples Chocie,2017-12-04 23:43:00
Jamaica Say You Will,Jackson Browne,2017-12-04 23:46:00
James,Billy Joel,2017-12-04 23:51:00
James Dean,The Eagles,2017-12-04 23:54:00
Jamie's Cryin',Van Halen,2017-12-04 23:59:00
Jamming,Bob Marley & The Wailers,2017-12-05 00:02:00
Jealous Guy,John Lennon,2017-12-05 00:06:00
Jeepster,T Rex,2017-12-05 00:10:00
Jerry's Pigeons,Genya Raven,2017-12-05 00:14:00
Jessica,The Allman Brothers,2017-12-05 00:19:00
Jesus Christ,Big Star,2017-12-05 00:26:00
Jesus Is Just Alright With Me,The Doobie Brothers,2017-12-05 00:29:00
Jesus Just Left Chicago,ZZ Top,2017-12-05 00:33:00
Jesus Was A Capricorn,Kris Kristofferson,2017-12-05 00:37:00
Jet,Paul McCartney & Wings,2017-12-05 00:39:00
Jet Airliner,Steve Miller Band,2017-12-05 00:43:00
Jet Boy,New York Dolls,2017-12-05 00:47:00
Jimmy Jazz,The Clash,2017-12-05 00:52:00
Jimmy Jimmy,The Undertones,2017-12-05 00:56:00
Jive,Michael Franks,2017-12-05 00:59:00
Jive Talkin',Bee Gees,2017-12-05 01:02:00
Joanne,Michael Nesmith & The First National Band,2017-12-05 01:05:00
Joe Hill,Joan Baez,2017-12-05 01:08:00
Joe The Lion,David Bowie,2017-12-05 01:13:00
Joe's Garage,Frank Zappa,2017-12-05 01:16:00
Joey,Bob Dylan,2017-12-05 01:22:00
Johannesburg,Gil Scott-Heron,2017-12-05 01:33:00
John Mclaughlin,Miles Davis,2017-12-05 01:37:00
"John, I'm Only Dancing",David Bowie,2017-12-05 01:41:00
Johnny B Goode,Grateful Dead,2017-12-05 01:44:00
Johnny Hold Back,Charlie,2017-12-05 01:48:00
Johnny Strikes Up The Band,Warren Zevon,2017-12-05 01:52:00
Johnny Too Bad,The Slickers,2017-12-05 01:55:00
Join Me In L.A.,Warren Zevon,2017-12-05 01:58:00
Join The Boys,Joan Armatrading,2017-12-05 02:02:00
Join Together,The Who,2017-12-05 02:06:00
Jolene,Dolly Parton,2017-12-05 02:11:00
Jolene,Olivia Newton-John,2017-12-05 02:14:00
Josie,Steely Dan,2017-12-05 02:17:00
Journey To Saturn,Sun Ra,2017-12-05 02:21:00
Joy,Isaac Hayes,2017-12-05 02:26:00
Joy To The World,Three Dog Night,2017-12-05 02:42:00
Judy Is A Punk,The Ramones,2017-12-05 02:45:00
Juke Box Music,The Kinks,2017-12-05 02:46:00
"Julie, Do Ya Love Me?",Bobby Sherman,2017-12-05 02:52:00
Julie's In The Drug Squad,The Clash,2017-12-05 02:55:00
Jump Into The Fire,Harry Nilsson,2017-12-05 02:58:00
Jump Street,Boz Scaggs,2017-12-05 03:05:00
Jumping Someone Else's Train,The Cure,2017-12-05 03:10:00
June Bug,Leo Kottke,2017-12-05 03:14:00
Jungle Boogie,Kool & The Gang,2017-12-05 03:16:00
Jungle Fever,Chakachas,2017-12-05 03:19:00
Jungle Jazz,Kool & The Gang,2017-12-05 03:23:00
Jungleland,Bruce Springsteen,2017-12-05 03:29:00
Junior's Farm,Paul McCartney,2017-12-05 03:38:00
Junk,Paul McCartney,2017-12-05 03:41:00
Just Ain't Easy,The Allman Brothers,2017-12-05 03:43:00
Just Another High,Roxy Music,2017-12-05 03:52:00
Just Another Night,Ian Hunter,2017-12-05 03:58:00
Just Don't Want To Be Lonely,The Main Ingredient,2017-12-05 04:03:00
Just Kissed My Baby,The Meters,2017-12-05 04:06:00
Just Like A Baby,Sly & The Family Stone,2017-12-05 04:11:00
Just Like A Woman,Bob Dylan,2017-12-05 04:17:00
Just Like This Train,Joni Mitchell,2017-12-05 04:22:00
Just My Imagination (Running Away With Me),The Temptations,2017-12-05 04:26:00
Just One Victory,Todd Rundgren,2017-12-05 04:30:00
Just Remember I Love You,Firefall,2017-12-05 04:36:00
Just Seven Numbers (Can Straighten Out My Life),Four Tops,2017-12-05 04:39:00
Just The Other Side Of Nowhere,Kris Kristofferson,2017-12-05 04:42:00
Just To Be Close To You,The Commodores,2017-12-05 04:48:00
Just What I Needed,The Cars,2017-12-05 04:54:00
Kansas City,David Bromberg,2017-12-05 04:58:00
Karen's Song,Andy Pratt,2017-12-05 05:02:00
Karn Evil 9: 1st Impression - Part 1,"Emerson, Lake & Palmer",2017-12-05 05:07:00
Karn Evil 9: 1st Impression - Part 2,Emerson Lake & Palmer,2017-12-05 05:16:00
Kashmir,Led Zeppelin,2017-12-05 05:21:00
Katmandu,Bob Seger,2017-12-05 05:29:00
Keep It Comin' Love,KC & The Sunshine Band,2017-12-05 05:36:00
Keep On Growing,Derek & The Dominos,2017-12-05 05:40:00
Keep On Keepin' On,Curtis Mayfield,2017-12-05 05:46:00
Keep On Smilin',Wet Willie,2017-12-05 05:53:00
Keep On Truckin',Eddie Kendricks,2017-12-05 05:58:00
Keep On Truckin',Hot Tuna,2017-12-05 06:09:00
Keep Playin That Rock N Roll,Edgar Winter,2017-12-05 06:12:00
Keep That Same Old Feeling,The Crusaders,2017-12-05 06:16:00
Keep The Fire,Kenny Loggins,2017-12-05 06:25:00
Keep Yourself Alive,Queen,2017-12-05 06:29:00
Kent State Massacre,J.J. Light,2017-12-05 06:33:00
Ketchy Shuby,Peter Tosh,2017-12-05 06:40:00
Key To The Highway,Derek & The Dominos,2017-12-05 06:45:00
Keys To Your Heart,The 101ers,2017-12-05 06:57:00
Kid Charlemagne,Steely Dan,2017-12-05 07:01:00
Kill City,Iggy Pop & James Williamson,2017-12-05 07:05:00
