Artist,Title,Year
Mose Allison,Your Mind Is On Vacation,1962
The Fray,Over My Head (Cable Car),2005
Bram Tchaikovsky,Girl Of My Dreams,1979
Beck,Sissyneck,1996
Joan Osborne,Ladder,1995
The Grass Roots,Let's Live For Today,1967
The White Stripes,Ball And Biscuit,2003
Matt McAndrew,Carried Away,2016
Snow Patrol,Chasing Cars,2006
JD McPherson,North Side Gal,2010
Madness,Our House,1982
Amy Winehouse,Love Is A Losing Game,2006
Sneaker Pimps,6 Underground,1996
Warren Zevon,Sentimental Hygiene,1987
Blur,Parklife,1994
Al Green,Look What You've Done For Me,1984
The Allman Brothers,One Way Out,1975
The Doors,"Hello, I Love You",1968
Ben Lee,Catch My Disease,2005
The Tubes,TV Is King,1979
Neil Diamond,Kentucky Woman,1967
Dr. Dog,That Old Black Hole,2012
Sara Bareilles,Love Song,2007
M83,Midnight City,2010
Crowded House,Don't Dream It's Over,1987
Bright Eyes,Soul Singer In A Session Band,2007
Zero 7,Destiny,2001
Supertramp,Breakfast In America,1979
Talk Talk,It's My Life,1994
Aretha Franklin,Since You've Been Gone,1968
Moby,Shot In The Back Of The Head,2009
Laura Marling,Sophia,2011
Eddie & The Hot Rods,Do Anything You Wanna Do,1976
Kathleen Edwards,Asking For Flowers,2008
The Wallflowers,One Headlight,1996
Andrew Bird,Fitz And The Dizzyspells,2009
Beck,Loser,1993
Grace Potter And The Nocturnals,Ah Mary,2007
Sheila Hylton,The Bed's Too Big Without You,1981
The National,Bloodbuzz Ohio,2010
Psychedelic Furs,The Ghost In You,1984
Midlake,Head Home,2006
Coldplay,Violet Hill,2008
Sinead O'Connor,The Emperor's New Clothes,1989
Ryan Adams,Stay With Me,2014
U2,Angel Of Harlem,1988
Frederick Knight,I've Been Lonely For So Long,1973
Radiohead,There There,2003
Lucinda Williams,Car Wheels On A Gravel Road,1998
Grateful Dead,Friend Of The Devil,1970
Zee Avi,Colors Of The Wind,2014
Laurie Berkner,One Two Buckle My Shoe,2015
Devendra Banhart,Lover,2007
Natalie Prass,Bird Of Prey,2011
Ben Harper,Diamonds On The Inside,2003
The Undertones,Teenage Kicks,1978
Richard Hell & The Voidoids,Blank Generation,1977
New York Dolls,Trash,1973
Iggy Pop,Five Foot One,1979
Iggy & The Stooges,Search And Destroy,1988
Arctic Monkeys,One For The Road,2013
William DeVaughn,Be Thankful For What You've Got,1991
R. E. M.,Losing My Religion,1991
Michael Nesmith,Cruisin',1979
Heart,Crazy On You,1976
Haim,The Wire,2012
Bangles,Walk Like An Egyptian,1987
Mike Doughty,Busting Up A Starbucks,2004
Curtis Mayfield,Freddie's Dead,1972
Paul McCartney & Wings,Jet,1973
Foals,Mountain At My Gates,2015
Jack Johnson,"Sitting, Waiting, Wishing",2004
Bob Dylan,Shelter From The Storm,1975
Chicago Transit Authority,I'm A Man,1969
Eurythmics,Missionary Man,1986
The Orlons,South Street,2005
Arthur Conley,Funky Street,1989
Dave Matthews Band,Grey Street,2002
U2,Where The Streets Have No Name,1987
Steely Dan,Bodhisattva,1973
Nickel Creek,Destination,2014
Peter Gabriel,Red Rain,1994
Lindsey Buckingham,Trouble,1981
John Eddie,Pretty Little Rebel,1986
The Jayhawks,Blue,1995
XTC,Generals & Majors,1980
Deep Purple,Smoke On The Water,1977
Stone Temple Pilots,Sour Girl,1999
Nathaniel Rateliff & The Night Sweats,SOB,2015
Tommy Conwell & The Young Rumblers,I'm Not Your Man,1986
Nick Jameson,Already Free,1977
The New Pornographers,My Rights Versus Yours,2007
Paul Simon,Train In The Distance,1983
Weezer,Say It Ain't So,1994
The Byrds,Wasn't Born To Follow,1968
Faces,Miss Judy's Farm,1971
Gordon Lightfoot,Carefree Highway,1974
St. Paul & The Broken Bones,Call Me,2014
Little Walter,Crazy Mixed Up World,1989
Pearl Jam,Wishlist,1998
Nick Drake,Pink Moon,1972
Jeff Buckley,Everyday People,2016
Jeff Buckley,Last Goodbye,1994
Jeff Buckley,Grace,1994
Nazz,Open My Eyes,1968
Robert Randolph & The Family Band,Going In The Right Direction,2003
Polica,Dark Star,2012
Tracy Chapman,New Beginning,1995
Jethro Tull,Teacher,1970
Billie Holiday,God Bless The Child,1956
Amy Winehouse,You Know I'm No Good,2006
Al Green,Love And Happiness,1972
Joni Mitchell,In France They Kiss On Main Street,1975
Susan Tedeschi,Gonna Move,2002
Steve Gunn,Ancient Jules,2016
TV On The Radio,Golden Age,2008
The Decemberists,The Perfect Crime #2,2006
The Allman Brothers,Trouble No More,1969
Chris Robinson Brotherhood,Leave My Guitar Alone,2016
The Stray Birds,Shining In The Distance,2016
Alison Krauss,Forget About It,1999
The Go! Team,Ladyflash,2003
R. E. M.,Man On The Moon,1992
Stevie Wonder,Too High,1973
Corinne Bailey Rae,Put Your Records On,2006
Sarah McLachlan,Adia,1998
Kate Bush,Wuthering Heights,1978
Josh Ritter,Mind's Eye,2007
The Velvelettes,He Was Really Sayin' Somethin',1964
Talking Heads,Crosseyed And Painless,1980
Fleetwood Mac,Think About Me,1979
Barenaked Ladies,Jane,1994
The Cult,She Sells Sanctuary,1985
Shelby Lynne,Your Lies,1999
Joe Jackson,Chinatown,1982
The Contours,Do You Love Me?,1962
The Kinks,Celluloid Heroes,1972
Mark Knopfler,I Used To Could,2012
Devo,(I Can't Get No) Satisfaction,1978
Jose Gonzalez,Heartbeats,2003
The Beatles,I'm So Tired,1968
The Hold Steady,Sequestered In Memphis,2008
Sun Ra & His Arkestra,Super Blonde,1957
Belle & Sebastian,Judy Is A Dick Slap,2000
The Men,Gun,2003
Nots,Inherently Low,2016
The King Khan & BBQ Show,I'll Be Loving You,2009
Field Mouse,The Order of Things,2016
Unknown Mortal Orchestra,Swim And Sleep (Like A Shark),2012
Screaming Females,Wishing Well,2015
Big Thief,Vegas,2016
Blake Babies,Temptation Eyes,1991
Terry Malts,Seen Everything,2016
Beach House,The Traveller,2015
Angel Olsen,Give It Up,2016
Jim James,A New Life,2013
Toots & The Maytals,Funky Kingston,1973
Radiohead,High And Dry,1995
The War On Drugs,Baby Missiles,2010
Ian Hunter,Once Bitten Twice Shy,1980
Patty Griffin,One Big Love,1998
Hozier,Jackie and Wilson,2014
Talking Heads,Girlfriend Is Better,1983
Joan Osborne,Only You Know And I Know,2002
Suzanne Vega,Luka,1987
Dr. John,Iko Iko,1972
Bob Dylan,Absolutely Sweet Marie,1966
The White Stripes,Seven Nation Army,2003
Parquet Courts,Black And White,2014
Guster,One Man Wrecking Machine,2006
Modest Mouse,Float On,2004
Los Lobos,Will The Wolf Survive?,1984
Bonnie Raitt,Thing Called Love,1989
Al Green,How Can You Mend A Broken Heart,1972
Al Green,I Feel Good,1977
Bill Withers,Who Is He (And What Is He To You)?,1972
James Brown,Get Up I Feel Like Being A Sex Machine,1971
James Brown,Night Train,1961
The Rolling Stones,Hey Negrita,1976
The Rolling Stones,Hot Stuff,1976
Cameo,Word Up,1987
Cameo,I Just Want To Be,1979
Heatwave,Boogie Nights,1976
Sam & Dave,I Thank You,1968
Sam & Dave,I Can't Stand Up,1967
Aretha Franklin,Sweet Sweet Baby,1968
Sly & The Family Stone,Dance To The Music,1968
Sly & The Family Stone,Family Affair,1988
Ray Charles,The Right Time,1958
Ray Charles,One Mint Julep,1961
The Meters,Just Kissed My Baby,1974
The Meters,Cissy Strut,1969
Jackson 5,Dancing Machine,1973
Rufus,Ain't Nobody,1995
Rufus,Once You Get Started,1974
Action Figure Party,Everybody Ready,2001
The Velvet Underground,Sweet Jane,1970
Stevie Ray Vaughan,Crossfire,1989
Santana,Love of my Life,1999
Steve Winwood,Freedom Overspill,1986
The Police,Spirits In The Material World,1981
Bryan Ferry,Slave To Love,1985
Ryan Adams,Cold Roses,2005
Morrissey,"Irish Blood, English Heart",2004
Fontella Bass,Rescue Me,1965
Violent Femmes,Gone Daddy Gone,1982
R. E. M.,Drive,1992
Pink Floyd,Welcome To The Machine,1975
Aimee Mann,Put Me On Top,1993
The Arcs,Stay In My Corner,2015
Jerry Garcia,The Wheel,1972
Alabama Shakes,I Found You,2011
My Morning Jacket,Wordless Chorus,2005
The Doors,The Changeling,1971
Vampire Weekend,Diane Young,2013
The Dream Academy,Life In A Northern Town,1985
Death Cab For Cutie,Soul Meets Body,2005
Buffalo Springfield,For What It's Worth,1967
The Waterboys,The Whole Of The Moon,1985
The Youngbloods,Darkness Darkness,1969
Dan Fogelberg,Part Of The Plan,1974
Bob Marley & the Wailers,Give Thanks & Praises,1983
Dido,Thank You,1998
Ray Davies,Thanksgiving Day,2005
Led Zeppelin,Thank You,1969
Andrew Gold,Thank You for Being a Friend,1978
Big Star,Thank You Friends,1978
Natalie Merchant,Kind & Generous,1998
George Winston,Thanksgiving,1982
Vince Guaraldi Trio,Thanksgiving Theme,1998
The Human League,Human,1986
Tori Amos,Caught A Lite Sneeze,1996
Janelle Monae,Tightrope,2010
Roy Ayers,Everybody Loves The Sunshine,1993
Live,Selling The Drama,1993
Moby,The Perfect Life,2013
Cocteau Twins,Know Who You Are At Every Age,1993
The Cure,Friday I'm In Love,1992
Graham Parker,White Honey,1976
The Alternate Routes,Ordinary,2005
Stevie Nicks,Edge Of Seventeen,1981
Al Stewart,Year Of The Cat,1976
Joseph Arthur,Honey And The Moon,2002
The Cars,Just What I Needed,1978
eels,Trouble With Dreams,2005
LCD Soundsystem,North American Scum,2006
10cc,Art For Art's Sake,1975
Tori Amos,Pretty Good Year,1994
Brandi Carlile,The Story,2006
Ike & Tina Turner,River Deep Mountain High,1979
Stevie Wonder,All I Do,1980
Veruca Salt,Seether,1994
John Hiatt,Have A Little Faith In Me,1987
Traffic,Feelin' Alright?,1968
The Who,Happy Jack,1968
Crosby Stills & Nash,See The Changes,1977
Bob Marley & The Wailers,One Love / People Get Ready,1977
New Order,Blue Monday,1996
Rhett Miller,This Is What I Do,2002
Dusty Springfield,I Only Want To Be With You,1963
Sly & The Family Stone,Sing A Simple Song,1969
Spoon,Trouble Comes Running,2010
The Yardbirds,Shapes Of Things,1971
Arcade Fire,Black Mirror,2007
B-52's,Channel Z,1989
Tom Petty & The Heartbreakers,U Get Me High,2014
Stevie Ray Vaughan,Rude Mood,1983
Colin Stetson & Sarah Neufeld,In The Vespers,2015
"Bobby ""Blue"" Bland",Stormy Monday,1962
Albert Collins,Frosty,1964
B. B. King,Five Long Years,1964
Muddy Waters,Got My Mojo Working,1963
Freddie King,Reconsider Baby,1974
Buddy Guy,Best Damn Fool,2008
Big Joe Turner,Crawdad Hole,1990
Bobby Rush,Nighttime Gardener,2016
Freddie King,How Many More Years,1974
John Lee Hooker,Just Me And My Telephone,1961
Tommy Tucker,High Heel Sneakers,1989
Dr. John,Big Chief,1972
Ronnie Earl & The Broadcasters,BroJoe,2016
Freddie King,Going Down,1971
Maya Beiser,Moanin' At Midnight,2014
Iggy Pop,Candy,1990
The Replacements,Little Mascara,1985
John Lee Hooker,The Healer,1989
? & The Mysterians,96 Tears,1966
Beastie Boys,Sabotage,1994
Talking Heads,Hey Now,1986
The Beta Band,Dry The Rain,1997
The Walkmen,In The New Year,2008
General Public,Tenderness,1984
Chris Staples,Cheap Shades,2016
The Smiths,What Difference Does It Make?,1984
David Wax Museum,Harder Before It Gets Easier,2012
The Avalanches,Frontier Psychiatrist,2000
Sugarcubes,Birthday,1987
Waxahatchee,La Loose,2015
Built To Spill,The Plan,1999
The Beatles,Girl,1964
Los Lobos,Burn It Down,2010
Elton John,Levon,1971
Sharon Jones And The Dap-Kings,100 Days 100 Nights,2007
Warren Zevon,Tenderness On The Block,1978
Josh Ritter,Kathleen,2003
Mitski,Your Best American Girl,2016
XTC,King For A Day,1989
Gerry Rafferty,Baker Street,1978
Spoon,They Want My Soul,2014
Leroy Van Dyke,The Auctioneer,1978
Bodies Of Water,Like A Stranger,2011
Mission Of Burma,Academy Fight Song,1980
Linda Ronstadt,Willing,1974
New Order,Age Of Consent,1983
Pulp,Common People,1995
Warren Zevon,Hasten Down The Wind,1976
Smokey Robinson,Crusin',1996
Bon Iver,Calgary,2011
Beastie Boys,Fight For Your Right,1986
New York Dolls,Personality Crisis,1973
Patti Smith,Ask The Angels,1976
Sharon Jones And The Dap-Kings,Natural Born Lover,2005
Prefab Sprout,Appetite,1985
New Radicals,Someday We'll Know,1998
The Beatles,Hey Jude,1968
Bob Seger,Bo Diddley,1972
Kiss,Detroit Rock City,1977
Wilco,Heavy Metal Drummer,2002
James Brown,Get Up Get Into It And Get Involved,1986
Elton John,Bennie and the Jets,1974
Donald Fagen,The Goodbye Look,1982
Chuck Berry,Maybellene,1963
Tom Petty & The Heartbreakers,Listen To Her Heart,1978
The Allman Brothers,Southbound,1973
Sharon Jones And The Dap-Kings,"Signed, Sealed, Delivered I'm Yours",2013
Sharon Jones And The Dap-Kings,I Learned The Hard Way,2010
Marvin Gaye,Right On,1971
Eric Burdon & War,Spill The Wine,1970
The Doobie Brothers,There's A Light,1977
Tom Waits,Time,1973
Leon Redbone,Champagne Charlie,1978
David Crosby,By the Light of Common Day,2016
Murray McLauchlan,Home from the Forest,2003
Gordon Lightfoot,"Oh, Linda",1966
Brett Dennen,Strawberry Road,2016
Charlotte Day Wilson,Where Do You Go,2016
Bruce Cockburn,Ribbon of Darkness,2003
Super XX Man,September/November,2006
Blackmore's Night,"Long, Long Time",2015
Joni Mitchell,"Both Sides, Now",1969
Connie Kaldor,If You Could Read My Mind,2003
Gordon Lightfoot,The First Time,1966
Ann Sweeten,Rainbow Moon,2007
Rachel Ries,October,2005
The Wyrd Sisters,Leave a Little Light,2001
Heather Nova,I'm  Air,2015
Elton John,Amoreena,1970
Genesis,Get 'em Out By Friday,1972
Neil Young,Tired Eyes,1975
SAVOY BROWN,I'm Tired,1969
Petula Clark,Don't Sleep In The Subway,1967
The Bottle Rockets,Early In The Morning,1992
The Replacements,Stuck In The Middle,1982
Was (Not Was),"Dad, I'm In Jail",1988
Bad Brains,Pay To Cum!,1980
H-Bomb Ferguson,Midnight Ramblin' Tonight,1993
My Bloody Valentine,Touched,1991
Bob Wills & His Texas Playboys,I'm A Ding-Dong Daddy From Dumas,2006
Black Flag,Rise Above,1981
Bob Dylan,Sad Eyed Lady Of The Lowlands,1966
Nick Drake,One Of These Things First,1970
Franz Ferdinand,Right Action,2013
Sweet,Action,1975
Elvis Costello & The Attractions,No Action,1978
The Velvet Underground & Nico,Venus In Furs,1990
David Bowie,Blackstar,1999
Roxy Music,The Thrill Of It All,1974
Urge Overkill,Vacation In Tokyo,1991
Frank Marino & Mahogany Rush,The Answer,1978
U.F.O.,Lights Out,1977
Harry Nilsson,Spaceman,1989
Dan Hicks & The Hot Licks,Hell I'd Go!,2000
New York Dolls,Dance Like A Monkey,2006
David Bowie,Let's Dance,1997
Budgie,Zoom Club,1974
The Black Crowes,Sometimes Salvation,1992
Joni Mitchell,Black Crow,1976
Brent Cobb,Black Crow,2016
Oasis,Supersonic,1994
Flamin' Groovies,Slow Death,1972
James Darren,Goodbye Cruel World,1991
Royal Crescent Mob,Big Show,1989
DJ Shadow,The Sideshow,2016
Dionne Warwick,Walk On By,1987
The Stranglers,Walk On By,1978
Isaac Hayes,Walk On By,1969
Led Zeppelin,Achilles Last Stand,1976
Fairport Convention,A Sailor's Life,1969
DMZ,From Home,1978
The Stooges,Loose,1970
The Replacements,Shutup,1981
Electric Light Orchestra,One Summer Dream,1975
Neil Young,There's A World,1972
John Cale,Dancing Undercover,1996
Ice T,You Played Yourself,1989
Jeff Beck,Rock My Plimsoul,1967
Booker T. & The MG's,Soul Clap '69,1969
X,The Unheard Music,1980
The Pretenders,Private Life (live),2006
Let's Active,Waters Part,1984
The Music Tapes,In An Ice Palace,2008
Crocodiles,Welcome To Hell,2016
Spoon,Who Makes Your Money,2010
Soft Hair,Lying Has To Stop,2016
Ian Sweet,All Skaters Go To Heaven,2016
Hamilton Leithauser,I Retired,2014
Midlake,Van Occupanther,2006
Elephant Stone,Love Is Like A Spinning Wheel,2016
St. Vincent,Actor Out Of Work,2009
Thee Oh Sees,The Poem,2016
The Clean,Circle Canyon,2001
Liars,Freak Out,2007
Sufjan Stevens,Year Of The Ox,2000
Roger Miller,Dang Me,1965
Kaia Kater,Paradise Fell,2016
Bob Dylan,A Hard Rain's A-Gonna Fall,1964
Phil Ochs,When I'm Gone,1966
Lead Belly,Hitler Song,1997
Billy Bragg,There Is Power In A Union,1986
Utah Phillips,Joe Hill,1984
Mipso,Down In The Water,2015
The Mike + Ruthy Band,Bright As You Can,2015
Wood Brothers,Postcards From Hell,2008
Ray LaMontagne,Trouble,2004
Cat Stevens,Trouble,1970
Josh White,Trouble,1958
Loretta Lynn,Women's Prison,2004
Mose Allison,Parchman Farm,1957
Primal Scream,"If They Move, Kill 'Em",1997
The Bostweeds,Faster Pussycat Kill Kill,1991
Timmy Thomas,Why Can't We Live Together,1990
Houndmouth,On the Road,2013
Bonnie Raitt,Something To Talk About,1991
Bruce Springsteen,The Fever,1999
Joe Jackson,Is She Really Going Out With Him,1978
Steve Earle,City Of Immigrants,2007
Sonic Youth,Bull In The Heather,1994
LVL UP,Hidden Driver,2016
Queen,Tie Your Mother Down,1976
The Replacements,I Will Dare,1984
The Kinks,Dedicated Follower Of Fashion,1966
The Beatles,Everybody's Got Something To Hide Except Me and My Monkey,1968
Paul Simon,The Afterlife,2011
Creedence Clearwater Revival,Midnight Special,1969
PJ Harvey,Down By The Water,1995
Talking Heads,Burning Down The House,1983
Cake,Frank Sinatra,1996
The Stone Roses,She Bangs The Drums,1989
The Who,The Kids Are Alright,1980
Ride,Twisterella,1992
The Record Company,Off The Ground,2016
Diego Garcia,All Eyes On You,2011
The Black Keys,Lonely Boy,2011
Sharon Jones & The Dap-Kings,Inspiration Information,2009
The Band,Acadian Driftwood,1975
Julia Jacklin,Elizabeth,2016
Bonnie Raitt,Thank You,1971
Leon Russell,The Ballad of Mad Dogs and Englishmen,1971
Jan Johansson,A + B,1968
case/lang/veirs,Honey and Smoke,2016
Agnes Obel,Golden Green,2016
Mose Allison,Young Man's Blues,1991
Dave Van Ronk,Sunday Street,1976
The Books,Cello Song (feat. Jose Gonzalez),2009
Sufjan Stevens,Vito's Ordination Song,2003
Willie Nelson & Leon Russell,Let the Rest of the World Go By,2011
Cory Hanson,Evening Glass,2016
Washington Phillips,Mother's Last Word to Her Son,2005
Mose Allison,Everybody Cryin' Mercy,1988
Mose Allison,I Don't Worry About a Thing,1962
Leon Russell,I'm Afraid the Masquerade is Over,2014
Karen Dalton,Take Me,1971
Kadhja Bonet,Francisco,2016
Miles Davis,Concierto De Aranjuez,1960
Joan Baez,Diamonds And Rust,1975
Joni Mitchell,Both Sides Now,1969
Bob Dylan,When I Paint My Masterpiece,1971
Leon Russell,This Masquerade,1972
Elton John,Come Down In Time,1970
Wilco,Normal American Kids,2016
Gordon Lightfoot,A Minor Ballad,1967
Leonard Cohen,Leaving The Table,2016
Mose Allison,Once In A While,2010
Shawn Colvin,Tougher Than The Rest,2015
Margaret Glaspy,Somebody To Anybody,2016
Bela Fleck,First Light,1995
Grateful Dead,Ripple,1970
Josienne Clarke & Ben Walker,Dark Turn Of Mind,2016
Gillian Welch,By The Mark,1996
Cassandra Wilson,The Way You Look Tonight,2015
Nat Adderley,My Heart Stood Still,1960
Luka Bloom,Exploring The Blue,1992
Glen Hansard,Stay The Road,2015
The Hot Club Of San Francisco,"Here, There and Everywhere",2016
Brian Eno,An Echo of Night,1984
Forma,Improvisation for Flute and Piano,2016
Edgar Froese,NGC 891,1974
Klaus Schulze,Wahnfried 1883,1975
Spacecraft,De Profundis,1998
Redshift,Vampyre,2015
Spyra,Staub,2014
The Blasters,I'm Shakin',1982
Santana,Europa,1976
Zella Day,Man On The Moon,2016
The Last Shadow Puppets,Is This What You Wanted,2016
Dog On Fleas,Cranberry Sauce Flotilla,2003
Led Zeppelin,In The Evening,1979
Chuck Prophet,Ford Econoline,2014
Lou Reed,Sad Song,1973
Badfinger,Baby Blue,1971
Translator,Everywhere That I'm Not,1982
Peter Tosh,Legalize It,1976
Red Hot Chili Peppers,Especially In Michigan,2006
Smith,Baby It's You,1969
The Andrews Sisters,Boogie Woogie Bugle Boy,1908
The Shangri-La's,Leader Of The Pack,1987
The Pointer Sisters,Yes We Can Can,1973
U2,I Fall Down,1981
Peter Gabriel,Shock The Monkey,1982
Material Issue,Valerie Loves Me,1991
Air,All I Need,1998
The Bob Seger System,Ramblin' Gamblin' Man,1969
Graham Parker,Stupefaction,1980
The Figgs,The Go Getter,2016
The Black Keys,Everlasting Light,2010
Psychedelic Furs,Heaven,1984
Sharon Jones And The Dap-Kings,Inspiration Information,2009
Ani DiFranco,Wish I May,1999
Kaki King,Playing With Pink Noise,2004
St. Vincent,Birth In Reverse,2013
Sleater-Kinney,A New Wave,2015
The Pretenders,Tattooed Love Boys,1980
Robert Plant & Alison Krauss,"Gone, Gone, Gone (Done Moved On)",2007
Dr. John,I Walk On Gilded Splinters,2001
The Clash,Should I Stay Or Should I Go?,1982
The Beatles,Ticket To Ride,1965
NRBQ,A Little Bit Of Bad,1994
JD McPherson,Let The Good Times Roll,2015
Rhett Miller,Come Around,2002
Bob Marley & The Wailers,Is This Love (Horns Mix),1992
Warren Zevon,Nighttime In The Switching Yard,1978
Hot Tuna,I See The Light,1973
Empire Of The Sun,High And Low,2016
Fleet Foxes,Blue Ridge Mountains,2008
Tame Impala,Elephant,2012
Jackson Browne,Lives In The Balance,1986
The Hooters,And We Danced,1994
Dawes,If I Wanted Someone,2011
Brenton Wood,Gimme Little Sign,1967
Flight Of The Conchords,The Most Beautiful Girl In The Room,2007
Joan Baez,Forever Young,1976
The Lumineers,Cleopatra,2016
Amy Winehouse,October Song,2003
Tedeschi Trucks Band,Part of Me,2013
Dobie Gray,Drift Away,1973
Bjork,It's Oh So Quiet,1995
U2,Trip Through Your Wires,1987
Fionn Regan,Hunter's Map,2006
Vampire Weekend,Holiday,2010
Local Natives,Fountain of Youth,2016
Simon & Garfunkel,America,1968
Crosby Stills & Nash,Marrakesh Express,1969
Death Cab For Cutie,I Will Possess Your Heart,2008
Billy Bragg & Wilco,California Stars,1998
Steely Dan,Haitian Divorce,1976
Belle & Sebastian,"Get Me Away From Here, I'm Dying",1996
Pete Yorn,Life On A Chain,2001
The Story,So Much Mine,1994
The Crickets,That'll Be The Day,1984
Lissie,In Sleep,2010
Natalie Merchant,Wonder,1995
Robert Cray,Don't Be Afraid Of The Dark,1988
Passion Pit,Little Secrets,2009
Luna,California (All The Way),1994
Lyle Lovett,I've Been To Memphis,1992
Peter Himmelman,"Woman With The Strength of 10,000 Men",1991
Robin Trower,Little Bit Of Sympathy,1974
Chris Whitley,Big Sky Country,1991
Supertramp,Give A Little Bit,1977
Jules And The Polar Bears,You Just Don't Wanna Know,1978
Live,Pain Lies On The Riverside,1991
Karla Bonoff,Home,1977
Delta Spirit,California,2012
Citizen Cope,Son's Gonna Rise,2004
Blondie,The Tide Is High,1988
Coldplay,Lovers In Japan,2008
The Doors,The Unknown Soldier,1968
Pearl Jam,Glorified G,1993
Counting Crows,Rain King,1993
Emerson Lake & Palmer,Lucky Man,1971
Haircut One Hundred,Favourite Shirts (Boy Meets Girl),1981
Otis Redding,I've Been Loving You Too Long,1967
Lucinda Williams,Changed The Locks,1988
Depeche Mode,People Are People,1984
Indigo Girls,What Are You Like,2009
Sea Level,Rain In Spain,1977
Young-Holt Unlimited,Soulful Strut,1968
The Godfathers,If I Only Had Time,1988
U2,An Cat Dubh/Into The Heart,2008
Gomez,Revolutionary Kind,1999
Don Henley,Sunset Grill,1984
Politicians,Free Your Mind,1972
Blue Oyster Cult,(Don't Fear) The Reaper,1982
Patti Smith,Gloria,1975
Mumford & Sons,Believe,2008
Damien Rice,Volcano,2002
Joe Cocker,Cry Me A River,1970
Cat Stevens,Was Dog A Doughnut?,1977
Railroad Earth,Chasin' a Rainbow,2014
Blue Oyster Cult,Born To Be Wild (LIVE),1992
Heart,Straight On,1978
Dwight Twilley Band,I'm On Fire,1976
Peter Frampton,I Wanna Go To The Sun,1974
The Waterboys,Church Not Made With Hands,1984
Wilco,What Light,2007
The Heptones,Mama Say,1975
LL Cool J,Mama Said Knock You Out,1991
David Bowie,Cat People (Putting Out Fire),1982
Sister Sledge,He's The Greatest Dancer,1988
Wilson Phillips,Hold On,1990
Kate & Anna McGarrigle,Kiss And Say Goodbye,1975
Dixie Chicks,Truth No. 2,2002
Dr. John,Goin' Back To New Orleans,1992
Canned Heat,Going Up The Country,1968
Talking Heads,Pulled Up,1977
Sleater-Kinney,Oh!,2002
The Temptations,Psychedelic Shack,1970
Thundercat,Them Changes,2015
Robert Palmer,You're Gonna Get What's Coming,1978
Marshall Tucker Band,Can't You See,1973
Gomez,See The World,2006
Daft Punk,Fragments of Time,2013
Steve Winwood,Night Train,1980
Little Feat,Two Trains,1973
The Beatles,Drive My Car,1965
The Hollies,Bus Stop,1966
Langhorne Slim,Say Yes,2009
K. T. Tunstall,Black Horse & The Cherry Tree,2004
Big Head Todd & The Monsters,Broken Hearted Savior,1993
Back Door Slam,It'll All Come Around,2007
The Districts,4th and Roebling,2015
Drive-By Truckers,Used To Be A Cop,2011
The Smithereens,House We Used To Live In,1988
Kaiser Chiefs,Hole In My Soul,2016
Pink Floyd,See Emily Play,1967
U2,Sometimes You Can't Make It On Your Own,2004
Queens of the Stone Age,No One Knows,2002
The Beatles,While My Guitar Gently Weeps,1968
Carole King,Where You Lead,1971
Death Cab For Cutie,No Sunlight,2008
Michael Kiwanuka,I'm Getting Ready,2011
Tori Amos,Jackie's Strength,1998
Dion,"Abraham, Martin and John",1967
Tom Tom Club,Wordy Rappinghood,1981
Nick Lowe,She's Got Soul,2001
The Sundays,Here's Where The Story Ends,1990
Stevie Wonder,Boogie On Reggae Woman,1974
Jack Johnson,Good People,2005
Annie Lennox,Walking On Broken Glass,1992
Jimi Hendrix,Bold As Love,1967
Coldplay,Shiver,2000
Tears For Fears,Mad World,1982
Blues Traveler,Hook,1994
Delaney & Bonnie & Friends,Only You Know And I Know,1970
Rufus Wainwright,April Fools,1998
Radiohead,Knives Out,2001
G Love & Special Sauce,Cold Beverage,1994
The Lemonheads,Mrs. Robinson,1992
U2,Vertigo,2004
The Band,The Night They Drove Old Dixie Down,1969
Marty Robbins,El Paso,1989
Dave Matthews Band,Where Are You Going,2002
R. E. M.,Radio Song,1991
The Beatles,I Call Your Name,1964
Morrissey,I'm Throwing My Arms Around Paris,2009
Earth Wind & Fire,Shining Star,1975
Bruce Springsteen,Prove It All Night,1978
Earl English,Wanting You,2002
Feist,How Come You Never Go There,2011
T Rex,Baby Boomerang,1972
Talking Heads,Wild Wild Life,1986
Wilson Pickett,Land Of 1000 Dances,1966
Bobby Vee,The Night Has A Thousand Eyes,1987
Elliott Smith,Miss Misery,1997
UB40,If It Happens Again,1984
Bryan Ferry,Don't Stop The Dance,1985
Tom Chapin,Family Tree,1988
Sweathog,Hallelujah,1972
Television,Fox Hole,2012
Wreckless Eric,Whole Wide World,1977
John Martyn,Solid Air,1973
Joan Baez,Time Rag,1977
Bee Gees,IOIO,1970
Eric Clapton,Next Time You See Her,1977
The Staple Singers,Respect Yourself,1971
The Veronicas,Untouched,2005
First Aid Kit,Stay Gold,2014
The Watson Twins,Devil In You,2010
The Corrs,When The Stars Go Blue,2002
Bob Dylan,Tombstone Blues,1965
Passion Pit,Carried Away,2012
Darrell Scott,The Day Before Thanksgiving,2010
Vampire Weekend,Cousins,2009
Davy Knowles & Back Door Slam,Coming Up For Air,2009
Elvis Costello,Watch Your Step,1981
Derek Trucks Band,Joyful Noise,2002
The Walker Brothers,The Sun Ain't Gonna Shine Anymore,1988
Led Zeppelin,Friends,1970
Jack Johnson,We're Going To Be Friends,2006
